code,title,first_author,first_author_org,all_authors,session,type,date,time,place,categories,has_fulltext,url
GG01-18,GG01-18: Effects of Oral Vitamin D Supplementation in an Experimental Model of Peyronie’s Disease,Leonardo Seligra-Lopes,Centro Universitario FMABC,Leonardo Seligra-Lopes,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUyNw==
GG01-19,GG01-19: Finasteride 1 mg: Silent Impacts on Male Fertility Despite Preserved Hormonal Balance,Lucas Sanvido,,Lucas Sanvido,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUzMA==
GG01-20,GG01-20: Compensated hypogonadism and sperm DNA fragmentation in men with sickle cell disease: impact on semen parameters,Jose Bessa,Universidade Estadual de Feira de Santana,Jose Bessa,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUzMg==
GG01-21,GG01-21: Artificial intelligence–derived tumor volume in multiparametric MRI: validation and multimodal applications for nodal and extracapsular extension prediction in prostate cancer,Ignacio Eltit,,Ignacio Eltit,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUzNw==
GG01-22,GG01-22: Epidemiology and Regional Variation in Prostate Cancer Incidence and Treatment in Hungary,Adam Lenart,,Adam Lenart,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM3OA==
GG01-23,GG01-23: Testosterone Responsiveness as a Predictive Biomarker of Successful Sperm Retrieval in Non-Obstructive Azoospermia,Baraa AlJardali,American University of Beirut Medical Center,Baraa AlJardali,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDUzNQ==
GG01-24,GG01-24: A composite biomarker approach to withhold neoadjuvant chemotherapy in select muscle-invasive bladder cancer patients,Joep De Jong,Erasmus MC,Joep De Jong,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU0Mg==
GG01-25,GG01-25: Beyond the Scalpel: Evaluation of the Paclitaxel Drug-Coated-Balloon as an Alternative to Open Urethroplasty at a Tertiary Referral Center: Two year follow-up data,Henriette Veiby Holm,Oslo University Hospital Rikshospitalet,Henriette Veiby Holm,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM3OQ==
GG01-26,GG01-26: High concentrations of pentoxifylline after capacitation impair bovine sperm function and in vitro fertilization outcomes,Claudio Teloken,UFCSPA - Federal University Health Sciences,Claudio Teloken,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU0MA==
GG01-27,GG01-27: DIAGNOSTIC ACCURACY OF SHEAR WAVE ELASTOGRAPHY FOR RISK STRATIFICATION OF PATIENTS WITH ERECTILE DYSFUNCTION—A PROSPECTIVE OBSERVATIONAL STUDY,Manoj Kumar,"AIIMS, Delhi, India",Manoj Kumar,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU0NQ==
GG01-28,GG01-28: Urban–Rural Disparities in Prostate Cancer Outcomes: A Nationwide Population-Based Analysis,Antonio Flavio Rodrigues,Hospital Israelita Albert Einstein Goiânia,Antonio Flavio Rodrigues,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU0NA==
GG01-29,GG01-29: Penile Girth Enhancement using Hyaluronic Acid Filler: A Prospective Evaluation of 120 patients,Leonardo Alves,INSTITUTO DE UROLOGIA E ANDROLGIA DR LEONARDO DE SOUZA ALVES,Leonardo Alves,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM4MA==
GG01-30,GG01-30: Automating Clavien-Dindo Classification with Large Language Models: a faster and more reliable way for data collection,Alexandre Danilovic,"Hospital das Clinicas HCFMUSP, Faculdade de Medicina, Universidade de Sao Paulo, Sao Paulo, SP, Brazil",Alexandre Danilovic,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU0OQ==
GG01-31,GG01-31: Profile of Brazilian Men Seeking Online Help for Ejaculatory Disorders,Marco Lipay,Hospital São Luiz Jabaquara,Marco Lipay,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU0Nw==
GG01-32,GG01-32: Preemptive Analgesia Using Lidocaine Infiltration Before Incision in Subinguinal Varicocelectomy: Interim Analysis of a Double Blind Randomized Trial,Filipe Tenorio,Andros Recife,Filipe Tenorio,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU1NQ==
GG01-33,GG01-33: Minimally Invasive Surgical Therapies Compared with Pharmacotherapy for Lower Urinary Tract Symptoms in Men with Benign Prostatic Hyperplasia: A Systematic Review and Meta-Analysis,Thiago Tagliari,FMRP - USP,Thiago Tagliari,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM4MQ==
GG01-34,GG01-34: Optical versus Digital Flexible Ureteroscopy: A Prospective and Randomized Trial,Iso Kauffmann,Santa Casa de São Paulo School of Medical Sciences,Iso Kauffmann,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU1Mw==
GG01-35,GG01-35: Prevalence Of Lower Urinary Tract Symptoms In Patients With Myotonic Dystrophy Type 1,Jose Antonio Prezotti,Santa Rita Hospital,Jose Antonio Prezotti,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU1OA==
GG01-36,GG01-36: Financial Literacy among Graduating Canadian Urology Residents Compared to Faculty,Archit Jain,Queens University,Archit Jain,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU1Nw==
GG01-37,GG01-37: To circ or not to circ — that is the question for patients with posterior urethral valves,Hans Bae,,Hans Bae,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU1OQ==
GG01-38,GG01-38: Leveraging Machine Learning Algorithms to Predict the Risk of Pathological Extraprostatic Extension After Robotic-Assisted Radical Prostatectomy,Abbas Hammoud,,Abbas Hammoud,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM4Mg==
GG01-39,GG01-39: The Value of Intraoperative point-of-care Urinalysis to Predict Positive Urine Cultures and Symptomatic Post-operative Infections During Cystoscopic procedures for Pediatric Patients,Michael Chua,University of Toronto,Michael Chua,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU2Mw==
GG01-40,GG01-40: Phase 1/2 study of an anti-PD-L1/IL-15 variant fusion protein (SIM0237) in BCG-unresponsive high-risk non-muscle-invasive bladder cancer (NMIBC),Dingwei Ye,,Dingwei Ye,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU2NA==
GG01-41,GG01-41: Sodium-glucose cotransporter 2 inhibitors use in prostate cancer patients undergoing hormone therapy: a sequential target trial emulation study,Rong Na,The University of Hong Kong,Rong Na,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTM4Mw==
GG01-42,GG01-42: Cardiologic and Oncologic Outcomes with GLP-1 Receptor Agonists in Men Receiving Androgen Deprivation Therapy for Prostate Cancer,Adam Lenart,,Adam Lenart,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU2OA==
GG01-43,GG01-43: Feasibility and Outcomes of Supine Mini-PCNL in Children Using a Digital Disposable Nephroscope with Vacuum-Assisted Suction Access Sheath: Early Clinical Experience,Jaisukh Kalathia,Fortune Urology Clinic,Jaisukh Kalathia,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU3MQ==
GG01-44,GG01-44: Deep Machine Learning Ensemble Model for Emphysematous Pyelonephritis Classification and Clinical Decision Intelligence,Roshan Reddy,,Roshan Reddy,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU3MA==
GG01-45,GG01-45: Successful Non-Operative Salvage of Glans Ischemia Following Chordee Correction: A Two-Case Report,Pawan Kandhari,"Kulkarni Uro Surgery Institue, Urokul Hospital",Pawan Kandhari,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU3NQ==
GG01-46,GG01-46: Urethral Diverticula Without Surgical Removal – Are We Lucky or Mistaken?,mohammad taha,Wolfson Medical Center Holon,mohammad taha,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU3Ng==
GG01-47,GG01-47: Study on Functionalized Nanoparticle Drug Delivery System Modified by Sertoli Cell Membrane for Improving Cytoxan-Induced Testicular Injury,Xiaozhi Zhao,,Xiaozhi Zhao,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU3Nw==
GG01-48,GG01-48: Predictive and Prognostic Value of Biopsy Gleason Pattern 4 Proportion in Localized Prostate Cancer,Yasmin Heiniger,,Yasmin Heiniger,Global Gateway Posters Day 1,Abstract,2026-05-15,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NDU4MA==
GG02-01,"GG02-01: Assessment of Dysuria After Endoscopic Laser Enucleation of the Prostate: How Common, How Long, and Which Patients Are at Risk? A Prospective Cohort Analysis",Oswaldo Neto,Univesidade de Sao Paulo,Oswaldo Neto,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwMA==
GG02-02,GG02-02: Minimally invasive management of posterior urethral stenosis using paclitaxel-coated ballons:Outcomes from a case series.,Carlos Rodriguez,"Clínica de Marly, Bogotá Colómbia,",Carlos Rodriguez,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTE5OA==
GG02-03,GG02-03: Phenotyping testicular reserve: What real-life data reveal,Edoardo Pozzi,IRCCS Ospedale San Raffaele,Edoardo Pozzi,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwMQ==
GG02-04,GG02-04: Leveraging Biobank Data to Advance Understanding of Long-Term Outcomes in Klinefelter Syndrome: A Literature Review,Wing Sum Nicole Jim,King's College London,Wing Sum Nicole Jim,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwNQ==
GG02-05,GG02-05: Holmium enucleation of the prostate versus robotic aquablation- is there a difference?,Deepika Reddy,Imperial College London,Deepika Reddy,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwMw==
GG02-06,"GG02-06: Robotic Aquablation for treatment of bladder outlet obstruction, can it democratise theatre time compared to Holmium enucleation?",Deepika Reddy,Imperial College London,Deepika Reddy,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwNg==
GG02-07,"GG02-07: What Is the Current Knowledge on Patient-Reported Sexual Function Outcomes in Sexual & Gender Minority Groups After Prostate Cancer Treatments, Including Surgery, Radiotherapy, Hormonal Therapy, Chemotherapy & Focal Therapy? A Systematic Review",Katy-Anne Burr,King's College London,Katy-Anne Burr,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwNw==
GG02-08,GG02-08: A Urological Walkabout: A Review of Australian Aboriginal Urological Practices and Uro-Oncological Outcomes,Jack Clarke,Sydney Local Health District,Jack Clarke,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIwOQ==
GG02-09,GG02-09: Urinary Function and Quality of Life following management of prostate cancer in community dwelling men: The Concord Health and Ageing in Men (CHAMP) Project.,Lewis Chan,Concord Repatriation General Hospital,Lewis Chan,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIxMQ==
GG02-10,GG02-10: Diagnostic Yield of MRI-Fusion Versus Cognitive-Guided Prostate Biopsy for Clinically Significant Prostate Cancer: A Prospective Within-Patient Comparison,Yara El Gindy,"Blacktown Hospital, Sydney, AU",Yara El Gindy,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIxMw==
GG02-11,GG02-11: Three-decade analysis of cancer-specific and other-cause mortality after surgical treatment for renal cell carcinoma,Luigi Nocera,IRCCS Ospedale San Raffaele,Luigi Nocera,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTk1Nw==
GG02-12,GG02-12: Development of a ChatGPT-Based Assistant in Multidisciplinary Team Discussions in Oncological Urology: The UroMDT Advisor Study,Riccardo Lombardo,Sapienza,Riccardo Lombardo,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIxNw==
GG02-13,GG02-13: Multicenter prospective comparative study to evaluate the safety and efficiency of same day catheter removal after en  block holmium laser enucleation of prostate,Fabio Maria Valenzi,,Fabio Maria Valenzi,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIxNg==
GG02-14,GG02-14: A Comprehensive Review of the Globally Available Digital Resources Specifically for Sexual & Gender Minority Patients Regarding the Sexual Consequences of Prostate Cancer Treatment,Katy-Anne Burr,King's College London,Katy-Anne Burr,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIyMQ==
GG02-15,GG02-15: Evaluating the Value of AI-Enhanced Core Data Reporting in Transperineal Prostate Biopsies (TPBx): Findings from a Paired Comparison with Robotic Assisted Laparoscopic Prostatectomies (RALP),Pedro Oliveira,,Pedro Oliveira,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIxOQ==
GG02-17,GG02-17: The histomorphological basis of radiological progression in prostate cancer active surveillance,Rhiya Sood,University College London Cancer Institute,Rhiya Sood,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIyMg==
GG02-18,GG02-18: Superior penile girth retention with stromal vascular fraction–enriched autologous fat grafting: a 1-year comparative study versus the centrifuged (Coleman) technique,Marcos Sforza,,Marcos Sforza,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTk1OA==
GG02-19,GG02-19: What is the evidence that early non-surgical intervention during the acute phase of Peyronie’s Disease prevents penile curvature progression and preserves erectile function?,Ibrahim Samy,GSTT,Ibrahim Samy,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIyNQ==
GG02-20,GG02-20: Regenerative Therapy in Peyronie’s Disease: A Systematic Review and Meta-Analysis of Intralesional Platelet-Rich Plasma,Muhammed Alaa Moukhtar Hammad,"Department of Urology, University of California, Irvine",Muhammed Alaa Moukhtar Hammad,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIyNw==
GG02-21,GG02-21: The diagnostic accuracy of MRI for diagnosing intra-prostatic cancer after previous radiotherapy: a systematic-review and meta-analysis,Alexander Light,Imperial College London,Alexander Light,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTk1OQ==
GG02-23,GG02-23: Semen quality in transgender individuals seeking fertility preservation,Massimiliano Raffo,IRCCS Ospedale San Raffaele,Massimiliano Raffo,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIzMg==
GG02-24,GG02-24: The Role of SUVmax Ratio at 18F-PSMA-1007 PET for Predicting High Aggressive Pathologic Features and PSA Persistence after Radical Prostatectomy in Prostate Cancer Patients,Leonardo Quarta,,Leonardo Quarta,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIzNA==
GG02-25,GG02-25: KURADS (Kidney URologic Assessment Data Score): Leveling Up Prediction of High-Risk RCC in Solid Renal Masses,Giacomo Musso,"IRCCS San Raffaele Hospital, Milan (IT)",Giacomo Musso,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIzOQ==
GG02-26,GG02-26: Outpatient Treatment of Recurrent Urethral Strictures and Bladder Neck Sclerosis Using Optilume® Drug-Coated Balloon:12-Month Prospective Outcomes,Giovanni Filomena,,Giovanni Filomena,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIzNg==
GG02-27,GG02-27: Standardization of urinary miRNA analysis for ccRCC: miR-20a as a key endogenous normalizer,Matteo Mearini,University of Perugia,Matteo Mearini,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTIzOA==
GG02-28,GG02-28: Functional outcomes and safety profile of Thulium:YAG laser enucleation (ThuLEP) versus robot-assisted simple prostatectomy (RASP) facing very large (= 150 ml) prostates,Davide Perri,,Davide Perri,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTI0Mw==
GG02-29,GG02-29: Standardized Assessment of Complications in Conservatively Managed UTUC: Insights from a High-Volume Tertiary Center,Angelo Occhi,Vita-salute San Raffaele University,Angelo Occhi,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTk2MA==
GG02-30,GG02-30: Prostatic enucleation provides the best outcomes in patients with BPH/LUTS and an indwelling catheter : a trifecta analysis.,Riccardo Lombardo,Sapienza,Riccardo Lombardo,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTI0Mg==
GG02-31,GG02-31: Mitochondrial dysfunction and paradoxical upregulation of mitophagy in the external urethral sphincter of elderly humans: A comparison with levator ani muscle,Shinro Hata,,Shinro Hata,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTI0Nw==
GG02-32,GG02-32: Reversible changes in bladder mucosal permeability at low temperatures are mediated by TRPA1 channels,Hiroki Natsuya,Fukushima medical university,Hiroki Natsuya,Global Gateway Posters Day 2,Abstract,2026-05-16,07:00,144C,,no,https://app.swapcard.com/event/2026-annual-meeting-washington-dc/planning/UGxhbm5pbmdfNDM4NTI0NQ==
